City,PG Name,Nearby College,Address,Rent (INR/Month),Room Type,Amenities,Distance to College (km),Rating,Reviews,Contact,Nearby Companies,Nearby Locations,PG Type,Vacancy Status,Meals Included,Meal Charges,Electricity Charges,Room Size (sq.ft),Public Transport Access,Gym,Wi-Fi Speed,Payment Frequency,Advance Payment Required,Security Features,Social Events
Vellore,"Riley, Clayton and Hurst",VIT Vellore,"535 Russell Fork Suite 596
South Jessicashire, NY 69158",13304,Shared,"AC, Laundry, Parking",4.541698447537851,3.5131873675479977,Small body cause focus to.,(704)462-0613x78241,Davila-Huerta,New Susanhaven,Female-only,Available,No,0,Not Included,180,Near local train,Yes,100 Mbps,Quarterly,Yes,Security Guard,No
Coimbatore,"Gallagher, Evans and Barron",PSG College of Technology,"627 Acosta Walks
Drakeberg, WA 29477",10563,Double,"Wi-Fi, Laundry",2.232157820735243,3.3200160460410713,Police wear under.,696.181.8640x18966,"Thompson, Morton and White",Moranfurt,Co-ed,Available,No,0,Not Included,122,Near metro station,No,Unlimited,Quarterly,No,CCTV,No
Erode,Crawford Ltd,The Gandhigram Rural Institute,"0629 Mason Spring Apt. 042
Paulburgh, IL 78908",9717,Shared,"Wi-Fi, AC, Laundry, Kitchen",1.2082096121792163,3.8646905432948246,Avoid always tell somebody truth raise various.,(515)212-9719x816,"Fields, Ramirez and Marquez",North Johnburgh,Male-only,Available,Yes,1811,Not Included,104,Near local train,No,50 Mbps,Monthly,Yes,Security Guard,Yes
Tiruchirappalli,Carter-Ferguson,Bharathidasan University,"682 Mills Way Suite 070
Jennymouth, FL 39241",9498,Single,"Wi-Fi, AC, Laundry, Kitchen",2.0137853389757447,3.12364893467754,Me than without themselves.,950-460-8807,Gardner PLC,Brownmouth,Female-only,Available,No,0,Not Included,158,5 min walk to bus stop,Yes,100 Mbps,Monthly,No,Security Guard,Yes
Tiruchirappalli,Moon-Fuller,Anna University Tiruchirappalli,"0163 Matthew Rue Suite 760
East Helenfurt, CT 46114",7656,Single,"Wi-Fi, Laundry",3.7588227920965434,3.6179283216546976,Recently phone federal recognize.,100.996.6251x381,"Goodwin, Young and Brooks",Juliaburgh,Male-only,Not Available,No,0,Included,103,Near local train,Yes,50 Mbps,Quarterly,No,Security Guard,Yes
Erode,"Decker, Bailey and Cook",The Gandhigram Rural Institute,"343 Larson Prairie Suite 838
West John, AK 58875",9422,Shared,"AC, Laundry, Parking",1.179104065778255,4.420181873566516,Site me week soldier consider.,(599)735-8838x1158,Chang and Sons,South Cristian,Male-only,Not Available,No,0,Included,193,5 min walk to bus stop,No,Unlimited,Monthly,Yes,"CCTV, Guard at Night",Yes
Tiruchirappalli,Mcintyre-Higgins,Bharathidasan University,"83355 Griffith Common
Port Nicoleland, CA 31817",13472,Single,"Wi-Fi, AC, Laundry, Kitchen",2.368000704962875,3.0801821083825596,Really try every tend.,001-171-673-1498x292,"Miller, Drake and Valdez",South Tyler,Co-ed,Not Available,No,0,Not Included,123,5 min walk to bus stop,Yes,Unlimited,Monthly,No,Security Guard,No
Madurai,Byrd Inc,VIT Madurai,"5824 Sharon Turnpike
Rickyside, OK 56324",14911,Single,"AC, Laundry, Parking",2.003106730921833,4.761672216559225,Organization appear wall describe attention fight.,042-639-5683,Lopez and Sons,Dianetown,Co-ed,Not Available,No,0,Not Included,113,Near metro station,Yes,Unlimited,Quarterly,Yes,CCTV,No
Tiruchirappalli,"Lowery, Mcintosh and Burton",National Institute of Technology Tiruchirappalli,"2277 Peter Stravenue Apt. 706
Boydmouth, DC 55855",14428,Shared,"Wi-Fi, Laundry",3.350058806361087,4.004067431389409,Street get world behind.,4446494721,Mendez-Koch,North Sarahfort,Female-only,Not Available,No,0,Not Included,165,Near metro station,No,100 Mbps,Monthly,No,"CCTV, Guard at Night",Yes
Vellore,Lee PLC,Vellore Institute of Technology University,"670 Brandon Villages Apt. 039
Port Trevormouth, CA 89526",5914,Double,"Wi-Fi, Laundry",4.554370897496254,3.819664628767684,Forget front sit.,001-988-636-4736x40104,"Rich, Reed and Hernandez",Martineztown,Female-only,Available,No,0,Not Included,152,Near metro station,No,Unlimited,Quarterly,No,CCTV,Yes
Erode,Jackson-Barajas,The Gandhigram Rural Institute,"800 Hill Meadows Suite 773
Kristinshire, IA 99601",11317,Double,"Wi-Fi, Laundry",2.307302946721697,4.822734165859316,Season game quite think everybody strategy civil.,1662891760,"Brooks, Williams and Rush",South Lindseyberg,Male-only,Not Available,No,0,Not Included,141,Near local train,Yes,50 Mbps,Quarterly,Yes,Security Guard,Yes
Vellore,Stewart-Hall,VIT Vellore,"026 Jacqueline Haven Suite 070
Ochoafurt, IL 87563",14419,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.528450326149299,4.926688028492119,Risk national defense prove fish network.,001-573-443-8140x026,Schultz-Arroyo,East Melissa,Male-only,Not Available,Yes,1922,Not Included,162,Near local train,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Chennai,Lang-Hanson,VIT University,"209 Moody Heights Suite 970
Josephhaven, TN 07831",5165,Double,"Wi-Fi, AC, Laundry, Kitchen",4.953677387053775,3.438805535327183,Team recently green money visit child.,(406)030-8743,Sutton Inc,Connorstad,Co-ed,Available,Yes,1440,Not Included,137,Near local train,Yes,50 Mbps,Monthly,Yes,Security Guard,No
Salem,Tate Group,Periyar University,"5399 Price Motorway
Carpenterfort, RI 87548",13544,Double,"AC, Laundry, Parking",2.0926272027225203,4.379418839197674,Increase foot staff tax letter record change buy.,529.454.8881x736,Morris-Acosta,Youngchester,Co-ed,Not Available,Yes,1799,Not Included,191,5 min walk to bus stop,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Salem,Boyd-Henderson,Government College of Engineering Salem,"99301 Johnson Ports
South Cody, OH 64682",5464,Double,"Wi-Fi, AC, Laundry, Kitchen",1.565238586035509,4.815731157309434,Million such yard there.,407.319.8991x23970,"Obrien, Huang and Little",Ianmouth,Female-only,Not Available,Yes,1356,Not Included,188,Near metro station,Yes,Unlimited,Quarterly,No,Security Guard,No
Coimbatore,Knapp LLC,Coimbatore Institute of Technology,"5955 Donald Square
Torresside, NY 73400",11854,Single,"AC, Laundry, Parking",2.180721986320915,4.561651687600601,Require up line light must require wide analysis.,(277)823-0709x10815,"Frank, Thornton and Cook",West Amyfort,Female-only,Not Available,No,0,Not Included,127,5 min walk to bus stop,No,Unlimited,Monthly,Yes,"CCTV, Guard at Night",Yes
Tiruchirappalli,Sheppard Inc,Anna University Tiruchirappalli,"85953 Romero Coves Apt. 763
Lake James, SC 35683",6801,Single,"AC, Laundry, Parking",2.2099652626058632,3.6002810686182634,Use ok hot certain wish front develop suffer.,3169176747,Miller PLC,West Mary,Female-only,Available,No,0,Not Included,170,Near metro station,Yes,100 Mbps,Quarterly,No,Security Guard,No
Vellore,French Group,VIT Vellore,"88270 Jennifer Locks
Michaelbury, WA 34676",11796,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.09792990249476,4.989058095572324,Rock there agreement lose purpose.,001-738-160-5588x65852,Gilmore-Alvarado,Zunigamouth,Co-ed,Available,No,0,Included,113,Near metro station,Yes,50 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Chennai,"Howard, Carr and Smith",SRM Institute of Science and Technology,"4050 Jackson Plains Suite 616
Alexisberg, UT 99658",12079,Double,"Wi-Fi, Laundry",3.2494712745070373,4.855595334144872,Reason yard respond thought society simply.,(289)743-8043,"Cochran, Smith and Wilson",Port Tiffany,Co-ed,Available,No,0,Not Included,145,5 min walk to bus stop,Yes,100 Mbps,Quarterly,Yes,Security Guard,No
Coimbatore,Smith-Paul,PSG College of Technology,"8588 William Glens
Brianberg, OK 12342",7391,Single,"AC, Laundry, Parking",1.810240617601305,4.78047794855352,Current brother data audience.,2271316099,Baker-Nash,Lake Daryl,Co-ed,Not Available,No,0,Not Included,183,Near metro station,Yes,100 Mbps,Quarterly,No,Security Guard,Yes
Tiruchirappalli,"Burns, Stark and Wilson",National Institute of Technology Tiruchirappalli,"35389 Lisa Plains Apt. 664
Gonzalesmouth, TX 00542",14211,Double,"AC, Laundry, Parking",4.612959992878521,4.691646053516988,East federal goal yard drive push green.,+1-116-868-8230,Baldwin PLC,Lake Danshire,Female-only,Not Available,Yes,1241,Not Included,126,5 min walk to bus stop,No,Unlimited,Monthly,No,"CCTV, Guard at Night",No
Tiruchirappalli,Jacobson Ltd,Anna University Tiruchirappalli,"8125 Buck Trafficway
Port Nancyburgh, PA 65218",5373,Shared,"AC, Laundry, Parking",4.255756629216027,4.6911234158127,Show thank nature participant add.,071.115.4940x876,Bernard-Bryant,East Paul,Male-only,Not Available,No,0,Included,182,Near metro station,No,Unlimited,Monthly,No,"CCTV, Guard at Night",Yes
Vellore,Johnson PLC,VIT Vellore,"250 Johnson Ford
Thomasshire, HI 76478",10893,Single,"Wi-Fi, AC, Laundry, Kitchen",1.7885433602268384,4.162555727271414,Enter front do address.,172.165.7404,Torres Inc,Davidview,Male-only,Not Available,Yes,1144,Included,198,5 min walk to bus stop,No,Unlimited,Monthly,No,Security Guard,No
Vellore,"Wilson, Clark and Stark",VIT Vellore,"USNV Vazquez
FPO AP 91775",8514,Double,"Wi-Fi, Laundry",4.362633602550215,3.506534874516327,Us especially project car two.,2899875741,"Ponce, Palmer and Webb",Johnsonport,Female-only,Available,Yes,2895,Included,114,Near local train,Yes,50 Mbps,Monthly,Yes,Security Guard,No
Madurai,Washington-Dixon,Tamil Nadu Medical University,"0683 Jonathon Mount Suite 494
Andersonport, WY 62317",9511,Shared,"AC, Laundry, Parking",3.128585814061247,4.761750796715535,Only reduce then short chair hotel.,(305)229-7669x855,Gill Inc,Paulastad,Co-ed,Available,Yes,2003,Not Included,176,Near metro station,Yes,50 Mbps,Quarterly,Yes,"CCTV, Guard at Night",No
Madurai,Rose LLC,Tamil Nadu Medical University,"7973 Justin Mills
North Darrenborough, DC 89744",14375,Double,"Wi-Fi, AC, Laundry, Kitchen",1.239579212053206,3.822477841446996,Situation necessary success order.,3741321641,Wade-Bird,Stewartview,Female-only,Not Available,No,0,Not Included,180,Near metro station,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Salem,Reyes-Henry,Government College of Engineering Salem,"4201 Fritz Heights
Kylefurt, DC 02453",12967,Single,"AC, Laundry, Parking",1.2829725403322456,4.308250063093432,Which defense appear authority.,508.787.2282x401,"Kaufman, Schmidt and Johnson",South Robertshire,Female-only,Available,Yes,1238,Not Included,124,Near metro station,Yes,Unlimited,Quarterly,No,"CCTV, Guard at Night",Yes
Coimbatore,"Morrison, Olson and Huff",PSG College of Technology,"110 Daniel Lodge Apt. 773
Livingstonborough, IN 96196",14542,Double,"Wi-Fi, Laundry",3.7975792257886614,3.610441173294733,Perhaps medical company.,831-667-4792x4556,"Alvarez, Miller and Wise",South Patriciaview,Male-only,Not Available,No,0,Not Included,170,Near metro station,No,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Madurai,Moore Ltd,Madurai Kamaraj University,"88965 Tiffany River
Port Barbara, ND 93922",12743,Shared,"AC, Laundry, Parking",4.722284581322228,3.5912229049220414,Positive need hour instead school point.,597.532.1474x6355,Cooper Group,Lake Cherylfort,Co-ed,Available,No,0,Included,145,5 min walk to bus stop,Yes,Unlimited,Quarterly,Yes,CCTV,Yes
Erode,Alexander-Dalton,The Gandhigram Rural Institute,"8900 Jacob Centers
Wufurt, AL 08124",7739,Double,"Wi-Fi, AC, Laundry, Kitchen",1.6048219799087655,3.562857868467324,Participant memory ever camera.,469.186.3700x0945,"Edwards, Mcguire and Murphy",South Amandafurt,Male-only,Not Available,Yes,1773,Not Included,163,5 min walk to bus stop,No,100 Mbps,Quarterly,No,CCTV,No
Vellore,Horton PLC,VIT Vellore,"0713 Andrew Drive
Kiarashire, NV 55443",7710,Shared,"Wi-Fi, Laundry",3.251731317813314,4.550166377644292,Experience style pass very have.,+1-801-538-4905x87906,Edwards-Franco,Port Gina,Female-only,Available,No,0,Included,132,5 min walk to bus stop,No,100 Mbps,Monthly,Yes,CCTV,No
Coimbatore,Wright-Bailey,Tamil Nadu Agricultural University,"199 Clark Drive Suite 830
Bobbymouth, FL 60197",9174,Double,"Wi-Fi, Laundry",2.744702235380851,4.880436685956946,Democrat thought response close trial write.,5779731514,Reynolds-Ball,Amandaberg,Co-ed,Available,No,0,Included,102,Near metro station,Yes,100 Mbps,Quarterly,Yes,CCTV,Yes
Vellore,Johnson Inc,VIT Vellore,"52698 Brian Place Suite 810
Lopezmouth, AZ 59058",12413,Single,"Wi-Fi, Laundry",4.799728213851788,3.9069681835598686,Believe use tax friend.,001-424-556-2551,"Robles, Nelson and Mills",North Georgeport,Co-ed,Available,No,0,Included,167,5 min walk to bus stop,Yes,50 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Salem,White-Beard,Government College of Engineering Salem,"64279 Williams Summit
Lake Sara, MI 24619",6314,Single,"Wi-Fi, AC, Laundry, Kitchen",4.995699200596668,3.649745000265212,Wear indeed this reflect trade.,001-685-044-7375x548,Maddox-Brown,New Johnmouth,Female-only,Not Available,No,0,Not Included,184,Near local train,Yes,50 Mbps,Monthly,Yes,Security Guard,Yes
Erode,"Bates, Hall and Simon",The Gandhigram Rural Institute,"42528 Rhonda Expressway
West Clintonshire, ID 40114",13091,Single,"AC, Laundry, Parking",2.2870883215426265,4.144511820910125,Still PM management successful have large deep.,4023193304,Sims-Thompson,Smithside,Co-ed,Not Available,Yes,2643,Included,154,Near metro station,No,100 Mbps,Quarterly,Yes,Security Guard,No
Coimbatore,Drake-Donovan,Coimbatore Institute of Technology,"0185 Craig Viaduct
East Laura, TN 92849",13611,Double,"Wi-Fi, Laundry",3.281818064306214,4.412211248763174,Ready others but.,(496)386-9690x295,Parsons Ltd,Sextonborough,Male-only,Available,Yes,1810,Not Included,144,Near metro station,No,50 Mbps,Monthly,Yes,CCTV,Yes
Salem,"Day, Evans and Washington",Government College of Engineering Salem,"75801 Regina Circles Suite 847
New Robert, ME 64342",6413,Single,"Wi-Fi, Laundry",3.2058738282545436,4.427837626970055,Beat yourself second final amount.,293-107-2309x0377,Knapp-Diaz,Rosefurt,Male-only,Available,Yes,2054,Not Included,195,Near local train,Yes,Unlimited,Quarterly,Yes,Security Guard,No
Tiruchirappalli,Reynolds-Hernandez,National Institute of Technology Tiruchirappalli,"33889 Frederick Valleys
East Darinview, NJ 51903",6860,Shared,"AC, Laundry, Parking",4.478758601535919,4.706907556720104,Improve customer hundred relationship.,(848)136-2932,"Lyons, Friedman and Walsh",Port Williamport,Male-only,Not Available,No,0,Included,124,Near metro station,Yes,100 Mbps,Quarterly,Yes,Security Guard,Yes
Erode,Frye PLC,Erode Arts and Science College,"89705 Stephens Ways
Daniellechester, NE 09465",13289,Shared,"AC, Laundry, Parking",1.8730057367826398,3.9619131774340373,Describe make science capital way one then them.,001-112-888-9513x43669,"Bridges, Long and Lee",Lake Tammyfurt,Female-only,Available,No,0,Included,120,Near local train,Yes,100 Mbps,Monthly,No,CCTV,Yes
Coimbatore,Alexander-Pearson,PSG College of Technology,"0019 Rojas Rapids Apt. 728
Bauerton, MI 83094",14873,Double,"AC, Laundry, Parking",3.600534395672512,3.719764499073209,Similar take stock member civil there family.,001-539-663-2217x69831,Lee Inc,North Donnatown,Female-only,Not Available,Yes,1511,Included,135,Near metro station,No,100 Mbps,Monthly,No,CCTV,No
Tiruchirappalli,Mcbride-Larson,Anna University Tiruchirappalli,"43729 Chavez Village
Miguelfurt, OR 06752",14518,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.368450678191989,4.850542677123709,Strong have them agreement street something determine.,336.666.2456x43422,Smith Ltd,Port Michaelland,Co-ed,Not Available,Yes,2068,Not Included,130,5 min walk to bus stop,No,50 Mbps,Quarterly,Yes,CCTV,No
Erode,Andersen-Hart,Erode Arts and Science College,"4326 Jackson Oval Suite 931
Jaclynton, KY 49254",11726,Single,"AC, Laundry, Parking",3.335055668484614,3.1453219856331582,Partner special use sound education carry behind.,(120)124-7186,Herring-Kennedy,Garciaton,Male-only,Not Available,Yes,1945,Not Included,107,Near local train,No,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Salem,Lowe and Sons,Dr. G.R. Damodaran College of Science,"7752 Patricia Cape Apt. 517
North Shannon, ME 97740",6830,Double,"Wi-Fi, Laundry",1.5369263764012122,4.0344575304776615,Agreement night road view feel five door.,330-326-2304x72867,"Henry, Day and Clarke",Burtonbury,Co-ed,Available,No,0,Included,122,Near metro station,Yes,Unlimited,Quarterly,No,CCTV,No
Vellore,"Sanchez, Forbes and Garcia",Vellore Institute of Technology University,"USS Thompson
FPO AE 80230",14231,Double,"Wi-Fi, Laundry",3.3728684577859998,4.012172908410951,Let apply certain explain available.,316-460-7743x00041,"Taylor, Roy and Simon",Maciasbury,Male-only,Not Available,No,0,Included,171,Near local train,Yes,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Madurai,"Dominguez, Evans and Abbott",Tamil Nadu Medical University,"79446 Coleman Ways
New Ginamouth, WY 01213",7204,Double,"Wi-Fi, Laundry",4.555230303718676,3.2897445895579924,Pay loss trouble respond.,(091)578-3609x8679,Melendez and Sons,Port Courtneyhaven,Male-only,Not Available,Yes,1532,Included,185,Near local train,No,Unlimited,Quarterly,No,CCTV,Yes
Coimbatore,Blackburn and Sons,PSG College of Technology,"48668 Garcia Flats Suite 011
New Richard, NJ 69159",7041,Double,"AC, Laundry, Parking",1.2370720919493787,3.8035460539165973,Box chair police college then.,(193)930-2319,"Hess, White and Morales",South Oliviachester,Female-only,Not Available,Yes,2953,Not Included,180,5 min walk to bus stop,No,50 Mbps,Quarterly,No,CCTV,No
Madurai,Maxwell Ltd,VIT Madurai,"PSC 5566, Box 5629
APO AP 98945",9574,Double,"AC, Laundry, Parking",1.8797405141368082,4.046368570340407,Last important government majority class.,(474)381-9835,"Todd, Garcia and Mooney",Port Chaseton,Female-only,Available,No,0,Included,164,5 min walk to bus stop,Yes,50 Mbps,Monthly,No,Security Guard,Yes
Vellore,Russell and Sons,Vellore Institute of Technology University,"22587 Bennett Shores
West Aaron, ND 60887",6722,Double,"Wi-Fi, Laundry",3.531943594082832,4.853293747583653,Future industry glass keep short hundred size of.,(722)915-5458x192,Schmidt-Saunders,Montoyamouth,Co-ed,Not Available,Yes,2218,Included,178,5 min walk to bus stop,No,Unlimited,Monthly,No,"CCTV, Guard at Night",Yes
Tiruchirappalli,Houston Ltd,Bharathidasan University,"8032 John Mills Suite 936
Lanebury, AR 94755",7775,Double,"Wi-Fi, AC, Laundry, Kitchen",3.246833061858153,4.878943494773134,Role full mouth positive.,001-381-448-5717x11363,Duncan Group,Port Joanna,Co-ed,Not Available,Yes,1571,Not Included,111,Near local train,No,Unlimited,Quarterly,Yes,Security Guard,Yes
Tiruchirappalli,Rocha Inc,National Institute of Technology Tiruchirappalli,"Unit 7565 Box 7681
DPO AA 77495",10686,Single,"Wi-Fi, AC, Laundry, Kitchen",2.8220132195978027,3.9961022378685302,Agree since weight watch.,550-447-0095,White and Sons,Zunigaville,Female-only,Available,No,0,Not Included,109,5 min walk to bus stop,No,50 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Madurai,Hughes-Nelson,VIT Madurai,"13806 Lawson Points Suite 098
Jenniferborough, NY 31838",12427,Double,"AC, Laundry, Parking",1.008650845324098,3.597110019555834,Political cut arm thing quickly few.,311.818.9710x97694,"Jackson, Brock and Mcgee",North Jordan,Male-only,Not Available,No,0,Included,121,Near local train,No,Unlimited,Quarterly,Yes,Security Guard,Yes
